attempt_id,test_time_spent
1,5341.0
2,5399.0
3,0.0
4,0.0
5,5401.0
6,0.0
7,0.0
8,-59.0
9,61.0
10,0.0
11,0.0
12,1431.0
13,4989.0
14,0.0
15,1840.0
16,3749.0
17,5399.0
18,5393.0
19,5226.0
20,5392.0
21,4975.0
22,3241.0
23,5398.0
24,5346.0
25,5211.0
26,136.0
27,5378.0
28,5405.0
29,3996.0
30,5406.0
31,3892.0
32,1672.0
33,-60.0
34,5404.0
35,5170.0
36,375.0
37,3730.0
38,4021.0
39,3877.0
40,5862.0
41,7206.0
42,4178.0
43,2420.0
44,3604.0
45,3178.0
46,3609.0
47,2946.0
48,-60.0
49,3561.0
50,3607.0
51,1905.0
52,143.0
53,2878.0
54,-4021.0
55,2266.0
56,3591.0
57,4334.0
58,10238.0
59,1390.0
60,4507.0
61,5403.0
62,5427.0
63,630.0
64,5403.0
65,1731.0
66,521.0
67,2456.0
68,3203.0
69,601.0
70,2197.0
71,651.0
72,3331.0
73,66.0
74,872.0
75,7.0
76,1081.0
77,3696.0
78,3391.0
79,3693.0
80,141.0
81,221.0
82,261.0
83,3530.0
84,3035.0
85,3351.0
86,426.0
87,776.0
88,3688.0
89,1483.0
90,1613.0
91,1169.0
92,2766.0
93,639.0
94,3.0
95,2365.0
96,3480.0
97,3798.0
98,2916.0
99,-60.0
100,2171.0
101,3871.0
102,126.0
103,3784.0
104,970.0
105,3586.0
106,3616.0
107,-61.0
108,3618.0
109,1862.0
110,3395.0
111,1905.0
112,3610.0
113,3618.0
114,3613.0
115,3612.0
116,3698.0
117,3620.0
118,1689.0
119,3224.0
120,3146.0
121,1804.0
122,3618.0
123,3619.0
124,2495.0
125,1778.0
126,68.0
127,1811.0
128,-1.0
129,3604.0
130,3636.0
131,1272.0
132,1227.0
133,3018.0
134,3601.0
135,1823.0
136,3617.0
137,1108.0
138,3603.0
139,3640.0
140,3783.0
141,1799.0
142,5346.0
143,-55907.0
144,1817.0
145,3093.0
146,3606.0
147,3603.0
148,3609.0
149,3607.0
150,2447.0
151,-2361.0
152,3645.0
153,-61.0
154,314.0
155,3660.0
156,3611.0
157,-36.0
158,3693.0
159,3603.0
160,3244.0
161,1115.0
162,3607.0
163,2663.0
164,2093.0
165,3704.0
166,1098.0
167,-3618.0
168,1718.0
169,3614.0
170,2918.0
171,5424.0
172,3639.0
173,3616.0
174,3166.0
175,7481.0
176,-9973.0
177,1734.0
178,1824.0
179,1775.0
180,2994.0
181,-60.0
182,1817.0
183,2379.0
184,3634.0
185,3613.0
186,3729.0
187,3625.0
188,4527.0
189,5416.0
190,3870.0
191,228.0
192,2366.0
193,3600.0
194,874.0
195,2979.0
196,64.0
197,2887.0
198,5425.0
199,1550.0
200,720.0
